date,institution_id,institution_type,meal,day_of_week,is_weekend,event_type,kai_value,actual_count,capacity,occupancy_pct
01-01-2024,UNIV_001,university,breakfast,Monday,0,normal,1,257,600,42.8
01-01-2024,UNIV_001,university,lunch,Monday,0,normal,1,527,600,87.8
01-01-2024,UNIV_001,university,dinner,Monday,0,normal,1,380,600,63.3
01-01-2024,CORP_001,corporate,breakfast,Monday,0,normal,1,220,450,48.9
01-01-2024,CORP_001,corporate,lunch,Monday,0,normal,1,355,450,78.9
01-01-2024,CORP_001,corporate,dinner,Monday,0,normal,1,253,450,56.2
02-01-2024,UNIV_001,university,breakfast,Tuesday,0,normal,1,234,600,39
02-01-2024,UNIV_001,university,lunch,Tuesday,0,normal,1,464,600,77.3
02-01-2024,UNIV_001,university,dinner,Tuesday,0,normal,1,357,600,59.5
02-01-2024,CORP_001,corporate,breakfast,Tuesday,0,normal,1,229,450,50.9
02-01-2024,CORP_001,corporate,lunch,Tuesday,0,normal,1,335,450,74.4
02-01-2024,CORP_001,corporate,dinner,Tuesday,0,normal,1,237,450,52.7
03-01-2024,UNIV_001,university,breakfast,Wednesday,0,normal,1,279,600,46.5
03-01-2024,UNIV_001,university,lunch,Wednesday,0,normal,1,513,600,85.5
03-01-2024,UNIV_001,university,dinner,Wednesday,0,normal,1,322,600,53.7
03-01-2024,CORP_001,corporate,breakfast,Wednesday,0,normal,1,217,450,48.2
03-01-2024,CORP_001,corporate,lunch,Wednesday,0,normal,1,362,450,80.4
03-01-2024,CORP_001,corporate,dinner,Wednesday,0,normal,1,258,450,57.3
04-01-2024,UNIV_001,university,breakfast,Thursday,0,normal,1,285,600,47.5
04-01-2024,UNIV_001,university,lunch,Thursday,0,normal,1,475,600,79.2
04-01-2024,UNIV_001,university,dinner,Thursday,0,normal,1,291,600,48.5
04-01-2024,CORP_001,corporate,breakfast,Thursday,0,normal,1,203,450,45.1
04-01-2024,CORP_001,corporate,lunch,Thursday,0,normal,1,353,450,78.4
04-01-2024,CORP_001,corporate,dinner,Thursday,0,normal,1,220,450,48.9
05-01-2024,UNIV_001,university,breakfast,Friday,0,normal,1,290,600,48.3
05-01-2024,UNIV_001,university,lunch,Friday,0,normal,1,475,600,79.2
05-01-2024,UNIV_001,university,dinner,Friday,0,normal,1,351,600,58.5
05-01-2024,CORP_001,corporate,breakfast,Friday,0,normal,1,217,450,48.2
05-01-2024,CORP_001,corporate,lunch,Friday,0,normal,1,333,450,74
05-01-2024,CORP_001,corporate,dinner,Friday,0,normal,1,245,450,54.4
06-01-2024,UNIV_001,university,breakfast,Saturday,1,normal,1,194,600,32.3
06-01-2024,UNIV_001,university,lunch,Saturday,1,normal,1,336,600,56
06-01-2024,UNIV_001,university,dinner,Saturday,1,normal,1,194,600,32.3
06-01-2024,CORP_001,corporate,breakfast,Saturday,1,normal,1,31,450,6.9
06-01-2024,CORP_001,corporate,lunch,Saturday,1,normal,1,49,450,10.9
06-01-2024,CORP_001,corporate,dinner,Saturday,1,normal,1,30,450,6.7
07-01-2024,UNIV_001,university,breakfast,Sunday,1,normal,1,170,600,28.3
07-01-2024,UNIV_001,university,lunch,Sunday,1,normal,1,312,600,52
07-01-2024,UNIV_001,university,dinner,Sunday,1,normal,1,270,600,45
07-01-2024,CORP_001,corporate,breakfast,Sunday,1,normal,1,38,450,8.4
07-01-2024,CORP_001,corporate,lunch,Sunday,1,normal,1,56,450,12.4
07-01-2024,CORP_001,corporate,dinner,Sunday,1,normal,1,42,450,9.3
08-01-2024,UNIV_001,university,breakfast,Monday,0,normal,1,211,600,35.2
08-01-2024,UNIV_001,university,lunch,Monday,0,normal,1,475,600,79.2
08-01-2024,UNIV_001,university,dinner,Monday,0,normal,1,314,600,52.3
08-01-2024,CORP_001,corporate,breakfast,Monday,0,normal,1,176,450,39.1
08-01-2024,CORP_001,corporate,lunch,Monday,0,normal,1,367,450,81.6
08-01-2024,CORP_001,corporate,dinner,Monday,0,normal,1,242,450,53.8
09-01-2024,UNIV_001,university,breakfast,Tuesday,0,normal,1,222,600,37
09-01-2024,UNIV_001,university,lunch,Tuesday,0,normal,1,543,600,90.5
09-01-2024,UNIV_001,university,dinner,Tuesday,0,normal,1,303,600,50.5
09-01-2024,CORP_001,corporate,breakfast,Tuesday,0,normal,1,201,450,44.7
09-01-2024,CORP_001,corporate,lunch,Tuesday,0,normal,1,448,450,99.6
09-01-2024,CORP_001,corporate,dinner,Tuesday,0,normal,1,230,450,51.1
10-01-2024,UNIV_001,university,breakfast,Wednesday,0,normal,1,210,600,35
10-01-2024,UNIV_001,university,lunch,Wednesday,0,normal,1,432,600,72
10-01-2024,UNIV_001,university,dinner,Wednesday,0,normal,1,388,600,64.7
10-01-2024,CORP_001,corporate,breakfast,Wednesday,0,normal,1,229,450,50.9
10-01-2024,CORP_001,corporate,lunch,Wednesday,0,normal,1,299,450,66.4
10-01-2024,CORP_001,corporate,dinner,Wednesday,0,normal,1,278,450,61.8
11-01-2024,UNIV_001,university,breakfast,Thursday,0,normal,0.9,228,600,38
11-01-2024,UNIV_001,university,lunch,Thursday,0,normal,1,417,600,69.5
11-01-2024,UNIV_001,university,dinner,Thursday,0,normal,1,417,600,69.5
11-01-2024,CORP_001,corporate,breakfast,Thursday,0,normal,0.9,156,450,34.7
11-01-2024,CORP_001,corporate,lunch,Thursday,0,normal,1,322,450,71.6
11-01-2024,CORP_001,corporate,dinner,Thursday,0,normal,1,267,450,59.3
12-01-2024,UNIV_001,university,breakfast,Friday,0,normal,1,315,600,52.5
12-01-2024,UNIV_001,university,lunch,Friday,0,normal,1,506,600,84.3
12-01-2024,UNIV_001,university,dinner,Friday,0,normal,1,352,600,58.7
12-01-2024,CORP_001,corporate,breakfast,Friday,0,normal,1,210,450,46.7
12-01-2024,CORP_001,corporate,lunch,Friday,0,normal,1,384,450,85.3
