date,institution_id,material,qty_ordered_kg,qty_used_kg,qty_wasted_kg,waste_pct,cost_inr
01-01-2024,CORP_001,Rice (kg),80.66,61.61,19.05,23.6,3387.72
01-01-2024,CORP_001,Wheat Flour (kg),48.37,40.39,7.98,16.5,1838.06
01-01-2024,CORP_001,Lentils (kg),39.66,30.56,9.1,22.9,3767.7
01-01-2024,CORP_001,Chicken (kg),100.33,74.85,25.48,25.4,22072.6
01-01-2024,CORP_001,Fish (kg),88.13,70.56,17.57,19.9,15863.4
01-01-2024,CORP_001,Vegetables (kg),115.73,99.21,16.52,14.3,4050.55
01-01-2024,CORP_001,Cooking Oil (L),29.09,22.68,6.41,22,3781.7
01-01-2024,CORP_001,Milk (L),58.14,48.53,9.61,16.5,3372.12
01-01-2024,CORP_001,Spices (kg),4.94,3.96,0.98,19.8,2223
01-01-2024,CORP_001,Sugar (kg),9.54,7.48,2.06,21.6,429.3
01-01-2024,UNIV_001,Rice (kg),111.24,91.41,19.83,17.8,4672.08
01-01-2024,UNIV_001,Wheat Flour (kg),72.08,52.88,19.2,26.6,2739.04
01-01-2024,UNIV_001,Lentils (kg),56.05,46.16,9.89,17.6,5324.75
01-01-2024,UNIV_001,Chicken (kg),138.38,114.42,23.96,17.3,30443.6
01-01-2024,UNIV_001,Fish (kg),121.87,104.08,17.79,14.6,21936.6
01-01-2024,UNIV_001,Vegetables (kg),171.13,138.86,32.27,18.9,5989.55
01-01-2024,UNIV_001,Cooking Oil (L),42.52,32.7,9.82,23.1,5527.6
01-01-2024,UNIV_001,Milk (L),86.87,64.78,22.09,25.4,5038.46
01-01-2024,UNIV_001,Spices (kg),6.89,5.65,1.24,18,3100.5
01-01-2024,UNIV_001,Sugar (kg),14.28,11.56,2.72,19,642.6
02-01-2024,CORP_001,Rice (kg),75,62.79,12.21,16.3,3150
02-01-2024,CORP_001,Wheat Flour (kg),49.02,36.3,12.72,25.9,1862.76
02-01-2024,CORP_001,Lentils (kg),38.09,29.74,8.35,21.9,3618.55
02-01-2024,CORP_001,Chicken (kg),94.55,79.96,14.59,15.4,20801
02-01-2024,CORP_001,Fish (kg),87.54,70.05,17.49,20,15757.2
02-01-2024,CORP_001,Vegetables (kg),119.93,90.13,29.8,24.8,4197.55
02-01-2024,CORP_001,Cooking Oil (L),29.56,22.67,6.89,23.3,3842.8
02-01-2024,CORP_001,Milk (L),59.45,44.12,15.33,25.8,3448.1
02-01-2024,CORP_001,Spices (kg),4.99,3.69,1.3,26.1,2245.5
02-01-2024,CORP_001,Sugar (kg),9.47,7.81,1.66,17.5,426.15
02-01-2024,UNIV_001,Rice (kg),100.38,81.09,19.29,19.2,4215.96
02-01-2024,UNIV_001,Wheat Flour (kg),63.01,51.39,11.62,18.4,2394.38
02-01-2024,UNIV_001,Lentils (kg),49.49,38.23,11.26,22.8,4701.55
02-01-2024,UNIV_001,Chicken (kg),124.49,99.95,24.54,19.7,27387.8
02-01-2024,UNIV_001,Fish (kg),110.79,88.82,21.97,19.8,19942.2
02-01-2024,UNIV_001,Vegetables (kg),150.65,114.67,35.98,23.9,5272.75
02-01-2024,UNIV_001,Cooking Oil (L),38.24,31.28,6.96,18.2,4971.2
02-01-2024,UNIV_001,Milk (L),73.76,60.75,13.01,17.6,4278.08
02-01-2024,UNIV_001,Spices (kg),6.42,4.97,1.45,22.6,2889
02-01-2024,UNIV_001,Sugar (kg),12.87,9.93,2.94,22.8,579.15
03-01-2024,CORP_001,Rice (kg),80.38,60.31,20.07,25,3375.96
03-01-2024,CORP_001,Wheat Flour (kg),51.02,40.43,10.59,20.8,1938.76
03-01-2024,CORP_001,Lentils (kg),38.63,31.36,7.27,18.8,3669.85
03-01-2024,CORP_001,Chicken (kg),104.45,78.85,25.6,24.5,22979
03-01-2024,CORP_001,Fish (kg),90.41,74.65,15.76,17.4,16273.8
03-01-2024,CORP_001,Vegetables (kg),122.71,96.24,26.47,21.6,4294.85
03-01-2024,CORP_001,Cooking Oil (L),30.88,24.77,6.11,19.8,4014.4
03-01-2024,CORP_001,Milk (L),60.05,47.58,12.47,20.8,3482.9
03-01-2024,CORP_001,Spices (kg),4.97,4.17,0.8,16.1,2236.5
03-01-2024,CORP_001,Sugar (kg),10.21,7.6,2.61,25.6,459.45
03-01-2024,UNIV_001,Rice (kg),110.18,84.49,25.69,23.3,4627.56
03-01-2024,UNIV_001,Wheat Flour (kg),64.44,53.19,11.25,17.5,2448.72
03-01-2024,UNIV_001,Lentils (kg),53.1,44.02,9.08,17.1,5044.5
03-01-2024,UNIV_001,Chicken (kg),130.38,109.47,20.91,16,28683.6
03-01-2024,UNIV_001,Fish (kg),120.89,90.78,30.11,24.9,21760.2
03-01-2024,UNIV_001,Vegetables (kg),166.72,127.16,39.56,23.7,5835.2
03-01-2024,UNIV_001,Cooking Oil (L),39.41,31.65,7.76,19.7,5123.3
03-01-2024,UNIV_001,Milk (L),82.6,62.19,20.41,24.7,4790.8
03-01-2024,UNIV_001,Spices (kg),6.51,5.08,1.43,22,2929.5
03-01-2024,UNIV_001,Sugar (kg),13.14,10.89,2.25,17.1,591.3
04-01-2024,CORP_001,Rice (kg),74.32,57.28,17.04,22.9,3121.44
04-01-2024,CORP_001,Wheat Flour (kg),45.26,36.21,9.05,20,1719.88
04-01-2024,CORP_001,Lentils (kg),38.61,29,9.61,24.9,3667.95
04-01-2024,CORP_001,Chicken (kg),96.91,73.61,23.3,24,21320.2
04-01-2024,CORP_001,Fish (kg),81.57,69.08,12.49,15.3,14682.6
04-01-2024,CORP_001,Vegetables (kg),111.37,90.42,20.95,18.8,3897.95
04-01-2024,CORP_001,Cooking Oil (L),29.06,21.07,7.99,27.5,3777.8
04-01-2024,CORP_001,Milk (L),53.99,45.26,8.73,16.2,3131.42
04-01-2024,CORP_001,Spices (kg),4.57,3.56,1.01,22.1,2056.5
04-01-2024,CORP_001,Sugar (kg),8.95,7,1.95,21.8,402.75
04-01-2024,UNIV_001,Rice (kg),103.2,76.8,26.4,25.6,4334.4
04-01-2024,UNIV_001,Wheat Flour (kg),62.89,50.48,12.41,19.7,2389.82
04-01-2024,UNIV_001,Lentils (kg),50.15,37.95,12.2,24.3,4764.25
04-01-2024,UNIV_001,Chicken (kg),129.1,94.7,34.4,26.6,28402
04-01-2024,UNIV_001,Fish (kg),115.99,93.58,22.41,19.3,20878.2
04-01-2024,UNIV_001,Vegetables (kg),150.5,120.26,30.24,20.1,5267.5
04-01-2024,UNIV_001,Cooking Oil (L),37.76,29.6,8.16,21.6,4908.8
