date,institution_id,meal,actual_count,day_of_week,month,week_of_year,day_of_year,quarter,is_weekend,is_monday,is_friday,is_holiday,is_exam_period,is_semester_break,is_waterlogging,is_normal_day,temperature_c,humidity_pct,heat_index,is_rainy,high_humidity,extreme_heat,weather_discount,is_monsoon,is_winter,is_pre_monsoon,is_post_monsoon,heaviness_num,base_demand_score,consecutive_weeks,sentiment_decay,meal_num,menu_item_encoded,heavy_x_humidity,is_university,capacity,kai_value,kai_computed,academic_stress_factor,weather_discount,lag_7_count,lag_14_count,lag_30_count,rolling_7d_mean,rolling_14d_mean,rolling_30d_mean,rolling_7d_std,wow_change,prev_day_waste_bucket,prev_day_waste_kg,total_wasted_kg,total_cost_inr
01-01-2024,CORP_001,breakfast,220,0,1,1,1,1,0,1,0,0,0,0,0,1,21.4,59,22.42,0,0,0,1,0,1,0,0,2,0.8,0,1,0,12,0,0,450,1,1,1,1,,,,,,,0,,,,114.76,60786.15
02-01-2024,CORP_001,breakfast,229,1,1,1,2,1,0,0,0,0,0,0,0,1,23.3,46.1,23.62,0,0,0,1,0,1,0,0,0,0.82,0,1,0,13,0,0,450,1,1,1,1,,,,220,220,220,0,,1,18.3,120.34,59349.61
03-01-2024,CORP_001,breakfast,217,2,1,1,3,1,0,0,0,0,0,0,0,1,25.1,67.6,28.17,1,0,0,1,0,1,0,0,2,0.85,0,1,0,9,0,0,450,1,1,1,1,,,,224.5,224.5,224.5,6.363961031,,2,59,127.75,62725.47
04-01-2024,CORP_001,breakfast,203,3,1,1,4,1,0,0,0,0,0,0,0,1,19.9,50.4,19.76,0,0,0,1,0,1,0,0,2,0.83,0,1,0,15,0,0,450,1,1,1,1,,,,222,222,222,6.244997998,,1,8.1,112.12,57778.49
05-01-2024,CORP_001,breakfast,217,4,1,1,5,1,0,0,1,0,0,0,0,1,14.3,56.9,13.42,0,0,0,1,0,1,0,0,0,0.9,0,1,0,7,0,0,450,1,1,1,1,,,,217.25,217.25,217.25,10.78192933,,1,24.1,102.6,57711.52
06-01-2024,CORP_001,breakfast,31,5,1,1,6,1,1,0,0,0,0,0,0,1,15.9,61.5,15.57,1,0,0,1,0,1,0,0,2,0.83,0,1,0,15,0,0,450,1,1,1,1,,,,217.2,217.2,217.2,9.338094024,,0,2.4,15.98,8175.69
07-01-2024,CORP_001,breakfast,38,6,1,1,7,1,1,0,0,0,0,0,0,1,16.4,47.7,15.28,0,0,0,1,0,1,0,0,1,0.88,0,1,0,1,0,0,450,1,1,1,1,,,,186.1666667,186.1666667,186.1666667,76.47330689,,2,58.3,18.93,10077.17
08-01-2024,CORP_001,breakfast,176,0,1,2,8,1,0,1,0,0,0,0,0,1,24.4,50,25.42,0,0,0,1,0,1,0,0,0,0.75,0,1,0,20,0,0,450,1,1,1,1,220,,,165,165,165,89.4967411,,2,46.2,104.99,57057.32
09-01-2024,CORP_001,breakfast,201,1,1,2,9,1,0,0,0,0,0,0,0,1,22.4,50.6,22.98,0,0,0,1,0,1,0,0,2,0.8,0,1,0,12,0,0,450,1,1,1,1,229,,,158.7142857,166.375,166.375,86.48451554,,2,33.5,122.24,65299.51
10-01-2024,CORP_001,breakfast,229,2,1,2,10,1,0,0,0,0,0,0,0,1,25.8,50.2,27.29,1,0,0,1,0,1,0,0,2,0.8,1,1,0,12,0,0,450,1,1,1,1,217,,,154.7142857,170.2222222,170.2222222,83.28007822,,1,20.4,122.36,60174.89
11-01-2024,CORP_001,breakfast,156,3,1,2,11,1,0,0,0,0,0,0,0,1,29.4,50.2,32.2,1,0,0,1,0,1,0,0,2,0.8,2,0.9,0,12,0,0,450,0.9,0.9,1,1,203,,,156.4285714,176.1,176.1,84.8839544,,1,17,109.18,54807.34
12-01-2024,CORP_001,breakfast,210,4,1,2,12,1,0,0,1,0,0,0,0,1,22,50.7,22.4,0,0,0,1,0,1,0,0,1,0.88,0,1,0,1,0,0,450,1,1,1,1,217,,,149.7142857,174.2727273,174.2727273,82.40896854,,2,56.9,111.25,61321.35
13-01-2024,CORP_001,breakfast,29,5,1,2,13,1,1,0,0,0,0,0,0,1,17.1,61.6,17.08,0,0,0,1,0,1,0,0,2,0.8,0,1,0,12,0,0,450,1,1,1,1,31,,,148.7142857,177.25,177.25,81.49379176,,1,16,17.43,8805.53
